gem,repo,categoria,existe,downloads,versao,licenca,erro,nome_corrigido_de,subpasta_de
workflow,geekq/workflow,state machines,True,8602233,3.1.1,MIT,,,
berkshelf,berkshelf/berkshelf,package management,True,8592495,8.1.23,Apache-2.0,,,
jsonapi-resources,cerebris/jsonapi-resources,api builder and discovery,True,8549423,0.10.7,MIT,,,
roar,trailblazer/roar,api builder and discovery,True,8468796,1.2.0,MIT,,,
closure_tree,ClosureTree/closure_tree,orm/odm extensions,True,8463257,9.8.0,MIT,,,
maruku,bhollis/maruku,markdown processors,True,8417697,0.7.3,MIT,,,
railroady,preston/railroady,data visualization,True,8370376,1.6.0,GPLv2,,,
progressbar,jfelchner/ruby-progressbar,cli utilities,True,8298908,1.13.0,MIT,,,
good_job,bensheldon/good_job,queues and messaging,True,8284409,4.19.2,MIT,,,
cells,trailblazer/cells,view components,True,8230697,4.1.8,MIT,,,
chewy,toptal/chewy,search,True,8171544,8.4.1,MIT,,,
yell,rudionrails/yell,logging,True,8108413,2.2.2,MIT,,,
acts_as_tenant,ErwinM/acts_as_tenant,orm/odm extensions,True,7852457,1.0.1,,,,
feedjira,feedjira/feedjira,rss,True,7635534,4.0.2,MIT,,,
action_policy,palkan/action_policy,authorization,True,7611079,0.7.6,MIT,,,
activerecord-sqlserver-adapter,rails-sqlserver/activerecord-sqlserver-adapter,database drivers,True,7610157,8.1.3,MIT,,,
sorcery,Sorcery/sorcery,authentication and oauth,True,7558539,0.18.0,MIT,,,
bulk_insert,jamis/bulk_insert,orm/odm extensions,True,7495173,1.9.0,MIT,,,
ruby-lsp-rails,Shopify/ruby-lsp-rails,developer tooling,True,7484140,0.4.8,MIT,,lsp-rails,
ruby-lsp-rspec,st0012/ruby-lsp-rspec,developer tooling,True,7453472,0.1.29,MIT,,lsp-rspec,
syslogger,crohr/syslogger,logging,True,7257770,1.6.6,MIT,,,
pygments.rb,pygments/pygments.rb,code highlighting,True,7223685,5.0.0,MIT,,pygments,
numo-narray,ruby-numo/numo-narray,scientific,True,7223147,0.9.2.1,BSD-3-Clause,,,
envyable,philnash/envyable,configuration,True,7204376,1.2.0,MIT,,,
gretel,lassebunk/gretel,breadcrumbs,True,7164452,5.1.0,MIT,,,
her,remi/her,api builder and discovery,True,7057425,1.1.1,MIT,,,
render_async,nikolalsvk/render_async,view helpers,True,6927423,2.1.11,MIT,,,
identity_cache,Shopify/identity_cache,caching,True,6692853,1.6.5,,,,
measured,Shopify/measured,measurements,True,6679258,3.2.1,MIT,,,
trilogy,trilogy-libraries/trilogy,database drivers,True,6642662,2.13.0,MIT,,,
statesman,gocardless/statesman,state machines,True,6610993,13.3.0,MIT,,,
staccato,tpitale/staccato,analytics,True,6593875,0.5.3,MIT,,,
sunspot,sunspot/sunspot,search,True,6593159,2.7.1,MIT,,,
noticed,excid3/noticed,notifications,True,6539633,3.0.0,MIT,,,
mongoid-history,mongoid/mongoid-history,orm/odm extensions,True,6522814,0.8.5,MIT,,,
algorithms,kanwei/algorithms,scientific,True,6398489,1.1.0,MIT,,,
steep,soutaro/steep,type signatures and type checking,True,6357228,2.0.0,MIT,,,
light-service,adomokos/light-service,business logic,True,6349224,0.21.0,MIT,,,
active_interaction,AaronLasseigne/active_interaction,business logic,True,6328229,5.5.0,MIT,,,
facets,rubyworks/facets,core extensions,True,6268751,3.2.2,BSD-2-Clause,,,
ruby-trello,jeremytregunna/ruby-trello,third-party apis,True,6218296,4.2.0,MIT,,trello,
distribution,sciruby/distribution,scientific,True,6084002,0.8.0,,,,
god,mojombo/god,process management and monitoring,True,5972416,0.13.7,,,,
nesty,skorks/nesty,error handling,True,5969041,1.0.2,MIT,,,
decent_exposure,hashrocket/decent_exposure,decorators,True,5952028,3.0.4,MIT,,,
patron,toland/patron,http clients and tools,True,5933533,0.13.4,MIT,,,
aruba,cucumber/aruba,testing,True,5785098,2.4.1,MIT,,,
did_you_mean,ruby/did_you_mean,debugging tools,True,5590451,2.0.0,MIT,,,
ahoy_email,ankane/ahoy_email,email,True,5568308,4.0.0,MIT,,,
apartment,influitive/apartment,orm/odm extensions,True,5216199,2.2.1,MIT,,,
phlex,yippee-fun/phlex,view components,True,5075895,2.4.1,MIT,,,
redic,amakawa/redic,database drivers,True,5027036,1.5.3,MIT,,,
dropbox_api,Jesus/dropbox_api,third-party apis,True,4989985,0.1.21,MIT,,,
time_diff,abhidsm/time_diff,date and time processing,True,4981000,0.3.0,,,,
sqlite3-ruby,sparklemotion/sqlite3-ruby,database drivers,True,4968640,1.3.3,,,,
simple-navigation,codeplant/simple-navigation,breadcrumbs,True,4899631,4.5.0,MIT,,,
que,que-rb/que,queues and messaging,True,4898591,2.4.1,MIT,,,
main,ahoward/main,cli builder,True,4893186,6.4.0,Ruby,,,
lhm,soundcloud/lhm,database tools,True,4645061,2.2.0,,,,
lol_dba,plentz/lol_dba,database tools,True,4596150,3.0.0,MIT,,,
traceroute,amatsuda/traceroute,code analysis and metrics,True,4588561,0.8.1,MIT,,,
rgl,monora/rgl,scientific,True,4473780,0.6.7,Ruby,,,
hologram,trulia/hologram,documentation,True,4452226,1.4.0,MIT,,,
biz,zendesk/biz,date and time processing,True,4398971,1.8.2,Apache 2.0,,,
turbo_tests,serpapi/turbo_tests,testing,True,4211749,2.2.5,MIT,,,
alba,okuramasafumi/alba,api builder and discovery,True,4209602,3.11.0,MIT,,,
validates_zipcode,dgilperez/validates_zipcode,country data,True,4164815,0.6.0,MIT,,,
metainspector,jaimeiniesta/metainspector,web crawling,True,4109044,5.17.2,MIT,,,
packetfu,packetfu/packetfu,networking,True,4103197,2.0.0,BSD-3-Clause,,,
pycall,red-data-tools/pycall.rb,scientific,True,4060488,1.5.3,MIT,,,
working_hours,intrepidd/working_hours,date and time processing,True,4038678,1.5.0,MIT,,,
impressionist,charlotte-ruby/impressionist,analytics,True,3992969,2.0.0,MIT,,,
versioncake,bwillis/versioncake,api builder and discovery,True,3975891,4.1.1,MIT,,,
database_consistency,djezzzl/database_consistency,database tools,True,3930302,3.0.11,MIT,,,
trailblazer,trailblazer/trailblazer,web frameworks,True,3858470,2.1.3,LGPL-3.0,,,
bluepill,bluepill-rb/bluepill,process management and monitoring,True,3858020,0.1.3,MIT,,,
eu_central_bank,RubyMoney/eu_central_bank,money,True,3752619,2.0.0,MIT,,,
positioning,brendon/positioning,orm/odm extensions,True,3592327,0.4.8,MIT,,,
lazy_high_charts,michelson/lazy_high_charts,data visualization,True,3448514,1.6.1,,,,
finishing_moves,BattleBrisket/finishing_moves,core extensions,True,3447948,1.3,MIT,,,
thinking-sphinx,pat/thinking-sphinx,search,True,3425376,6.0.0,MIT,,,
test_xml,alovak/test_xml,testing,True,3390310,0.1.8,MIT,,,
credit_card_validations,didww/credit_card_validations,e-commerce and payments,True,3344873,9.0.0,MIT,,,
daru,SciRuby/daru,scientific,True,3312438,0.3,BSD-2,,,
phashion,westonplatter/phashion,image processing,True,3252638,1.2.0,,,,
solidus,solidusio/solidus,e-commerce and payments,True,3239093,4.7.0,BSD-3-Clause,,,
mutations,cypriss/mutations,business logic,True,3226776,0.9.2,MIT,,,
github_changelog_generator,github-changelog-generator/github-changelog-generator,documentation,True,3154296,1.18.0,MIT,,github-changelog-generator,
mina,mina-deploy/mina,devops tools,True,3093688,1.2.5,MIT,,,
classifier-reborn,jekyll/classifier-reborn,scientific,True,2986275,2.3.0,LGPL,,,
micromachine,soveran/micromachine,state machines,True,2959526,3.0.0,MIT,,,
mailboxer,mailboxer/mailboxer,social networking,True,2946362,0.15.1,MIT,,,
spree,spree/spree,e-commerce and payments,True,2883425,5.6.1,BSD-3-Clause,,,
discordrb,meew0/discordrb,third-party apis,True,2881965,3.8.0,MIT,,,
textacular,textacular/textacular,search,True,2821363,5.7.0,MIT,,,
memo_wise,panorama-ed/memo_wise,core extensions,True,2782895,1.13.0,MIT,,,
rubydns,socketry/rubydns,networking,True,2704122,2.1.1,MIT,,,
bitfields,grosser/bitfields,orm/odm extensions,True,2633539,0.14.0,MIT,,,
string_pattern,MarioRuiz/string_pattern,core extensions,True,2613297,2.4.0,MIT,,,
cable_ready,stimulusreflex/cable_ready,websocket,True,2601790,5.0.6,MIT,,,
fb_graph2,nov/fb_graph2,third-party apis,True,2513945,1.3.0,MIT,,,
pragmatic_segmenter,diasks2/pragmatic_segmenter,natural language processing,True,2504913,0.3.24,MIT,,,
spinach,codegram/spinach,testing,True,2464677,0.12.0,MIT,,,
video_info,thibaudgg/video_info,video,True,2449936,4.2.0,MIT,,,
backburner,nesquena/backburner,queues and messaging,True,2443769,1.7.0,MIT,,,
money-tree,GemHQ/money-tree,cryptocurrencies and blockchains,True,2400405,0.11.2,MIT,,,
yt,claudiob/yt,third-party apis,True,2369104,0.34.1,MIT,,,
unread,ledermann/unread,orm/odm extensions,True,2365698,0.14.0,MIT,,,
geminabox,geminabox/geminabox,gem servers,True,2355303,3.1.0,MIT,,,
montrose,rossta/montrose,date and time processing,True,2290979,0.18.0,MIT,,,
backup,backup/backup,devops tools,True,2288068,4.4.1,MIT,,,
clearance,thoughtbot/clearance,authentication and oauth,True,2269769,2.12.0,MIT,,,
falcon,socketry/falcon,web servers,True,2258724,0.57.0,MIT,,,
rghost,shairontoledo/rghost,pdf,True,2227371,0.9.9,,,,
xray-rails,brentd/xray-rails,debugging tools,True,2179927,0.3.3,MIT,,,
simple-rss,cardmagic/simple-rss,rss,True,2177353,2.2.0,,,,
json-compare,a2design-inc/json-compare,diff,True,2160541,0.1.8,,,,
mail_form,heartcombo/mail_form,email,True,2157681,1.11.0,MIT,,,
rack-app,rack-app/rack-app,web frameworks,True,2153917,11.0.2,Apache License 2.0,,,
metric_fu,metricfu/metric_fu,code analysis and metrics,True,2147808,4.13.0,MIT,,,
graphql-guard,exAspArk/graphql-guard,graphql,True,2120887,2.0.0,MIT,,,
mongoid-tree,benedikt/mongoid-tree,orm/odm extensions,True,2077276,2.3.0,MIT,,,
niceql,alekseyl/niceql,code formatting,True,2071470,0.6.2,MIT,,,
linkedin,hexgnu/linkedin,third-party apis,True,2009895,1.1.1,MIT,,,
ohm,soveran/ohm,orm/odm,True,2004991,3.1.1,MIT,,,
rom,rom-rb/rom,orm/odm,True,1993880,5.4.3,MIT,,,
pay,pay-rails/pay,e-commerce and payments,True,1968562,11.7.2,MIT,,,
transitions,troessner/transitions,state machines,True,1965567,1.3.0,MIT,,,
logidze,palkan/logidze,orm/odm extensions,True,1956716,1.4.1,MIT,,,
neovim,neovim/neovim-ruby,automation,True,1953125,0.10.0,MIT,,neovim-ruby,
mutant,mbj/mutant,testing,True,1917949,0.16.3,Nonstandard,,,
scoped_search,wvanbergen/scoped_search,search,True,1896051,5.0.0,MIT,,,
openai,alexrudall/ruby-openai,ai and llms,True,1874168,0.80.0,Apache-2.0,,,
prerender_rails,prerender/prerender_rails,seo,True,1857446,1.11.0,MIT,,,
comfortable_mexican_sofa,comfy/comfortable-mexican-sofa,cms,True,1780742,2.0.19,MIT,,comfortable-mexican-sofa,
rakismet,joshfrench/rakismet,captchas and anti-spam,True,1764257,1.5.4,,,,
acts_as_api,fabrik42/acts_as_api,api builder and discovery,True,1756709,1.0.1,,,,
spreadsheet_architect,westonganger/spreadsheet_architect,spreadsheets and documents,True,1756290,5.1.1,MIT,,,
global,railsware/global,configuration,True,1754122,3.0.0,MIT,,,
legato,tpitale/legato,analytics,True,1733682,0.7.0,,,,
active_scaffold,activescaffold/active_scaffold,admin interface,True,1722584,4.3.2,MIT,,,
json-streamer,thisismydesign/json-streamer,data processing and etl,True,1706583,2.1.0,MIT,,,
tmuxinator,tmuxinator/tmuxinator,cli utilities,True,1694926,3.4.1,MIT,,,
upsert,seamusabshere/upsert,database tools,True,1676703,2.9.10,MIT,,,
bloomfilter-rb,igrigorik/bloomfilter-rb,scientific,True,1656971,2.1.2,,,,
normalize_country,sshaw/normalize_country,country data,True,1574422,0.3.3,MIT,,,
langchainrb,patterns-ai-core/langchainrb,ai and llms,True,1526419,0.19.5,MIT,,,
exception_handler,richpeck/exception_handler,error handling,True,1506734,0.8.0.2,MIT,,,
stimulus_reflex,stimulusreflex/stimulus_reflex,websocket,True,1498933,3.5.5,MIT,,,
accept_language,cyril/accept_language.rb,http clients and tools,True,1494899,2.2.0,MIT,,,
active_flag,kenn/active_flag,orm/odm extensions,True,1489767,2.1.1,,,,
online_migrations,fatkodima/online_migrations,database tools,True,1393238,0.36.0,MIT,,,
stamp,jeremyw/stamp,date and time processing,True,1377099,0.7.0,MIT,,,
rack-tracker,railslove/rack-tracker,analytics,True,1376861,1.13.0,MIT,,,
rubydex,Shopify/rubydex,code analysis and metrics,True,1357804,0.4.0,MIT,,,
health-monitor-rails,lbeder/health-monitor-rails,process management and monitoring,True,1342177,12.9.0,MIT,,,
auto_html,dejan/auto_html,view helpers,True,1294236,2.2.1,MIT,,,
search_cop,mrkamel/search_cop,search,True,1272060,1.5.0,MIT,,,
itamae,itamae-kitchen/itamae,devops tools,True,1255499,1.15.0,MIT,,,
by_star,radar/by_star,date and time processing,True,1233560,4.0.1,,,,
tolk,tolk/tolk,internationalization,True,1218917,6.0.0,MIT,,,
que-scheduler,hlascelles/que-scheduler,scheduling,True,1167602,7.0.1,MIT,,,
fxruby,larskanis/fxruby,gui,True,1159759,1.6.50,LGPL-2.1-or-later,,,
consul,makandra/consul,authorization,True,1145215,2.0.1,MIT,,,
gepub,skoji/gepub,ebook,True,1097552,2.0.1,BSD-3-Clause,,,
permanent_records,JackDanger/permanent_records,orm/odm extensions,True,1087977,6.0.1,MIT,,,
looksee,oggy/looksee,irb,True,1068642,5.1.0,MIT,,,
loaf,piotrmurach/loaf,breadcrumbs,True,1063533,0.10.0,MIT,,,
rodauth,jeremyevans/rodauth,authentication and oauth,True,1020523,2.47.0,MIT,,,
tracer,ruby/tracer,debugging tools,True,986544,0.2.3,Ruby,,,
schema_plus,SchemaPlus/schema_plus,database tools,True,982542,2.0.1,MIT,,,
stemmer,aurelian/ruby-stemmer,data processing and etl,True,963371,1.0.1,,,,
acts_as_archival,expectedbehavior/acts_as_archival,orm/odm extensions,True,947265,2.1.0,MIT,,,
trestle,TrestleAdmin/trestle,admin interface,True,943275,0.10.1,LGPL-3.0-only,,,
opal,opal/opal,implementations/compilers,True,924996,1.8.3,MIT,,,
merit,tute/merit,orm/odm extensions,True,911537,5.0.0,MIT,,,
rein,nullobject/rein,database tools,True,899774,5.1.0,MIT,,,
notion-ruby-client,phacks/notion-ruby-client,third-party apis,True,896354,1.2.2,MIT,,,
milia,jekuno/milia,orm/odm extensions,True,890801,1.3.1,MIT,,,
standby,kenn/standby,database tools,True,890767,5.1.0,,,,
sidekiq-iteration,fatkodima/sidekiq-iteration,queues and messaging,True,886652,0.4.1,MIT,,,
pluck_in_batches,fatkodima/pluck_in_batches,optimizations,True,883185,0.3.0,MIT,,,
order_query,glebm/order_query,pagination,True,879362,0.5.6,MIT,,,
apexcharts,styd/apexcharts.rb,data visualization,True,874646,0.2.0,MIT,,,
gollum,gollum/gollum,documentation,True,870893,6.1.0,MIT,,,
fast_count,fatkodima/fast_count,optimizations,True,870301,0.3.0,MIT,,,
rails_db,igorkasyanchuk/rails_db,database tools,True,870275,2.5.0,MIT,,,
activevalidators,franckverrot/activevalidators,orm/odm extensions,True,867410,6.0.0,MIT,,,
happymapper,mvz/happymapper,html/xml parsing,True,864962,0.5.0,,,,
jets,rubyonjets/jets,serverless,True,861577,6.0.6,MIT,,,
link_thumbnailer,gottfrois/link_thumbnailer,web crawling,True,854785,3.4.0,,,,
grim,jonmagic/grim,pdf,True,847388,1.3.5,,,,
finite_machine,piotrmurach/finite_machine,state machines,True,845998,0.14.1,MIT,,,
envied,eval/envied,configuration,True,832236,2.0.0,MIT,,,
tabulo,matt-harvey/tabulo,cli utilities,True,828023,3.0.3,MIT,,,
jsonapi-utils,tiagopog/jsonapi-utils,api builder and discovery,True,754939,0.7.3,MIT,,,
ably,ably/ably-ruby,third-party apis,True,753062,1.2.8,Apache-2.0,,ably-ruby,
statsample,sciruby/statsample,scientific,True,733251,2.1.0,,,,
mongoid_search,mongoid/mongoid_search,search,True,726054,0.5.0,MIT,,,
activerecord_cursor_paginate,healthie/activerecord_cursor_paginate,pagination,True,710415,0.4.1,MIT,,,
minimization,sciruby/minimization,scientific,True,707213,0.2.5,,,,
rroonga,ranguba/rroonga,search,True,703682,15.0.4,LGPL-2.1,,,
motor-admin,motor-admin/motor-admin-rails,admin interface,True,694604,0.5.0,MIT,,motor-admin-rails,
tty,piotrmurach/tty,cli builder,True,688922,0.10.0,MIT,,,
rubber,rubber/rubber,devops tools,True,688458,3.2.2,,,,
waterfall,apneadiving/waterfall,business logic,True,686136,1.3.0,MIT,,,
secondbase,customink/secondbase,database tools,True,685028,2.2.0,MIT,,,
sym,kigster/sym,encryption,True,682088,3.0.2,,,,
active_snapshot,westonganger/active_snapshot,orm/odm extensions,True,669846,1.2.1,MIT,,,
inch,rrrene/inch,documentation,True,669703,0.8.0,MIT,,,
sord,AaronC81/sord,type signatures and type checking,True,656525,7.1.0,MIT,,,
colorls,athityakumar/colorls,cli utilities,True,656350,1.5.0,MIT,,,
show_for,heartcombo/show_for,decorators,True,652361,0.9.0,MIT,,,
bh,claudiob/bh,view helpers,True,639284,6.1.4,MIT,,,
irbtools,janlelis/irbtools,irb,True,628279,4.2.0,MIT,,,
ruby,pubnub/ruby,mobile development,True,607598,0.1.0,,,,
bacon,leahneukirchen/bacon,testing,True,585435,1.2.0,,,,
neography,maxdemarzi/neography,database drivers,True,584865,1.8.0,MIT,,,
simple_states,svenfuchs/simple_states,state machines,True,578671,2.0.1,MIT,,,
deep_pluck,khiav223577/deep_pluck,orm/odm extensions,True,573555,1.3.2,MIT,,,
rbs-inline,soutaro/rbs-inline,type signatures and type checking,True,571413,0.14.0,MIT,,,
access-granted,chaps-io/access-granted,authorization,True,571071,1.3.3,MIT,,,
chamber,thekompanee/chamber,configuration,True,562583,3.2.0,MIT,,,
rorvswild,BaseSecrete/rorvswild,performance monitoring,True,556452,1.12.0,MIT,,,
suspenders,thoughtbot/suspenders,rails application generators,True,552779,20260325.0,MIT,,,
instrumental_agent,Instrumental/instrumental_agent-ruby,performance monitoring,True,548632,3.0.0,MIT,,instrumental_agent-ruby,
data_miner,seamusabshere/data_miner,orm/odm extensions,True,533887,3.0.0,MIT,,,
iodine,boazsegev/iodine,web servers,True,532822,0.7.59,MIT,,,
literal,yippee-fun/literal,type signatures and type checking,True,524285,1.9.0,MIT,,,
browse-everything,samvera/browse-everything,cloud,True,523655,1.6.0,Apache 2,,,
comfy_bootstrap_form,comfy/comfy-bootstrap-form,form builder,True,522897,4.0.9,MIT,,comfy-bootstrap-form,
iruby,SciRuby/iruby,scientific,True,521583,0.8.3,MIT,,,
soundcloud,soundcloud/soundcloud-ruby,third-party apis,True,514808,0.3.7,,,soundcloud-ruby,
decidim,decidim/decidim,social networking,True,507634,0.32.1,AGPL-3.0-or-later,,,
wraith,BBC-News/wraith,testing,True,505616,4.2.4,Apache-2.0,,,
spyke,balvig/spyke,api builder and discovery,True,505152,7.2.2,MIT,,,
spidr,postmodern/spidr,web crawling,True,496446,0.7.2,MIT,,,
acl9,be9/acl9,authorization,True,496382,3.2.1,MIT,,,
typesense,typesense/typesense-ruby,search,True,495396,5.0.0,Apache-2.0,,typesense-ruby,
madmin,excid3/madmin,admin interface,True,494027,2.6.0,MIT,,,
pocketsphinx-ruby,watsonbox/pocketsphinx-ruby,natural language processing,True,477122,0.4.0,MIT,,,
authentication-zero,lazaronixon/authentication-zero,authentication and oauth,True,475752,4.0.3,MIT,,,
rb-libsvm,febeling/rb-libsvm,machine learning,True,474067,1.4.4,MIT,,,
date_range_formatter,darkleaf/date_range_formatter,date and time processing,True,473985,0.1.2,MIT,,,
sup,sup-heliotrope/sup,email,True,472066,1.4,GPL-2.0,,,
squid,claudiob/squid,pdf,True,467317,1.4.1,MIT,,,
fast_underscore,kddnewton/fast_underscore,optimizations,True,465511,0.3.4,MIT,,,
wikipedia-client,kenpratt/wikipedia-client,third-party apis,True,461240,1.17.0,MIT,,,
whirly,janlelis/whirly,cli utilities,True,437347,0.4.0,MIT,,,
refile,refile/refile,file upload,True,425770,0.6.2,MIT,,,
ai4r,sergiofierens/ai4r,machine learning,True,416825,2.0,Unlicense,,,
ruby-push-notifications,calonso/ruby-push-notifications,notifications,True,414433,1.3.0,MIT,,push-notifications,
hobo,Hobo/hobo,rails application generators,True,412284,2.2.6,,,,
rumale,yoshoku/rumale,machine learning,True,409206,2.2.0,BSD-3-Clause,,,
second_level_cache,hooopo/second_level_cache,caching,True,407274,2.7.1,,,,
words_counted,abitdodgy/words_counted,natural language processing,True,398258,1.0.3,MIT,,,
nokolexbor,serpapi/nokolexbor,html/xml parsing,True,391755,0.8.0,MIT,,,
cache_crispies,codenoble/cache-crispies,api builder and discovery,True,367400,1.5.0,MIT,,cache-crispies,
conekta,conekta/conekta-ruby,e-commerce and payments,True,367022,9.0.0,MIT,,conekta-ruby,
simple_scheduler,simplymadeapps/simple_scheduler,scheduling,True,366557,2.0.0,MIT,,,
gemsmith,bkuhlmann/gemsmith,gem generators,True,361161,26.0.0,Hippocratic-2.1,,,
sentimental,7compass/sentimental,natural language processing,True,359546,1.5.0,MIT,,,
pliny,interagent/pliny,api builder and discovery,True,359245,2.0.0,MIT,,,
gemdiff,teeparham/gemdiff,diff,True,357628,6.0.2,MIT,,,
csvreader,rubycocos/csvreader,data processing and etl,True,355542,1.2.5,Public Domain,,,
humidifier,kddnewton/humidifier,cloud,True,352291,4.2.0,MIT,,,
active_mocker,zeisler/active_mocker,testing,True,346154,2.6.2,MIT,,,
maily,markets/maily,email,True,319994,2.1.0,MIT,,,
tweetstream,tweetstream/tweetstream,third-party apis,True,317348,2.6.1,MIT,,,
emoji,wpeterson/emoji,assets,True,313790,1.0.7,MIT,,,
runfile,DannyBen/runfile,cli builder,True,312095,1.0.2,MIT,,,
thredded,thredded/thredded,social networking,True,306941,1.2.1,MIT,,,
jekyll-timeago,markets/jekyll-timeago,date and time processing,True,306493,1.1.0,MIT,,,
garner,artsy/garner,caching,True,301656,0.5.3,MIT,,,
qtbindings,ryanmelt/qtbindings,gui,True,299466,4.8.6.5,LGPL-2.1,,,
test_bench,test-bench/test-bench,testing,True,298931,3.0.0.0,MIT,,test-bench,
procodile,adamcooke/procodile,process management and monitoring,True,294576,1.0.26,MIT,,,
glimmer,AndyObtiva/glimmer,gui,True,292959,2.8.2,MIT,,,
bridgetown,bridgetownrb/bridgetown,static site generation,True,285387,2.2.2,MIT,,,
slideshow,slideshow-s9/slideshow,presentation programs,True,270372,4.1.0,Public Domain,,,
retest,alexb52/retest,file system listener,True,267831,2.4.0,MIT,,,
acts_as_recursive_tree,1and1/acts_as_recursive_tree,orm/odm extensions,True,267268,4.1.1,MIT,,,
acts_as_textcaptcha,matthutchinson/acts_as_textcaptcha,captchas and anti-spam,True,266780,4.7.1,MIT,,,
gush,chaps-io/gush,queues and messaging,True,261579,5.0.0,MIT,,,
configus,kaize/configus,configuration,True,255572,0.0.5,,,,
mini_i18n,markets/mini_i18n,internationalization,True,253931,1.1.0,MIT,,,
invoice_printer,strzibny/invoice_printer,pdf,True,252743,2.5.0,MIT,,,
whatsapp_sdk,ignacio-chiazzo/ruby_whatsapp_sdk,third-party apis,True,247675,1.1.0,MIT,,ruby_whatsapp_sdk,
record-cache,orslumen/record-cache,caching,True,246572,0.1.6,MIT,,,
wombat,felipecsl/wombat,web crawling,True,244936,3.3.0,MIT,,,
word-to-markdown,benbalter/word-to-markdown,markdown processors,True,241913,1.1.9,MIT,,,
petergate,elorest/petergate,authorization,True,237959,3.0.1,MIT,,,
polo,IFTTT/polo,database tools,True,237187,0.5.0,MIT,,,
elasticsearch-ruby,elastic/elasticsearch-ruby,search,True,235404,0.0.4,,,,
cql,enkessler/cql,testing,True,232863,1.7.0,MIT,,,
review,kmuto/review,ebook,True,227580,5.11.0,LGPL,,,
agoo,ohler55/agoo,web servers,True,225482,2.15.15,MIT,,,
polyphony,digital-fabric/polyphony,concurrency and parallelism,True,225022,1.6,MIT,,,
psd,layervault/psd.rb,image processing,True,222876,3.9.0,MIT,,,
ruby-fann,tangledpath/ruby-fann,machine learning,True,222159,2.0.2,MIT,,fann,
syro,soveran/syro,web frameworks,True,219707,3.2.1,MIT,,,
skeptick,maxim/skeptick,image processing,True,215767,0.2.1,,,,
runbook,braintree/runbook,automation,True,207042,1.1.0,MIT,,,
decisiontree,igrigorik/decisiontree,scientific,True,201982,0.5.0,MIT,,,
vips,libvips/ruby-vips,image processing,True,201467,8.15.1,MIT,,,
workarea,workarea-commerce/workarea,e-commerce and payments,True,196680,3.5.27,Business Software License,,,
incoming,honeybadger-io/incoming,email,True,193875,0.2.0,,,,
seeing_is_believing,JoshCheek/seeing_is_believing,debugging tools,True,192984,4.0.1,WTFPL,,,
feed-normalizer,aasmith/feed-normalizer,rss,True,192872,1.5.2,,,,
api_guard,Gokul595/api_guard,authentication and oauth,True,192584,0.6.0,MIT,,,
rspec-tracer,avmnu-sng/rspec-tracer,testing,True,186726,1.2.4,MIT,,,
feedparser,rubycocos/feedparser,rss,True,186134,2.2.1,Public Domain,,,
fastlane-plugin-pgyer,PGYER/fastlane-plugin-pgyer,mobile development,True,179463,0.4.0,MIT,,,
cutest,djanowski/cutest,testing,True,178191,1.2.3,MIT,,,
activerecord-turntable,drecom/activerecord-turntable,orm/odm extensions,True,176404,4.4.1,MIT,,,
firehose,firehoseio/firehose,websocket,True,164862,1.3.6,MIT,,,
nobrainer,NoBrainerORM/nobrainer,orm/odm,True,163349,0.44.1,LGPL-3.0-only,,,
lxc,lxc/ruby-lxc,devops tools,True,162796,0.6.0,Apache 2.0,,,
blockchain,rubycocos/blockchain,cryptocurrencies and blockchains,True,158989,3.0.1,MIT,,,
video_transcoding,lisamelton/video_transcoding,video,True,156955,0.25.3,MIT,,,
peatio,rubykube/peatio,cryptocurrencies and blockchains,True,154667,3.1.1,,,,
hobbit,patriciomacadden/hobbit,web frameworks,True,151648,0.6.1,MIT,,,
nmatrix,sciruby/nmatrix,scientific,True,143553,0.2.4,BSD-3-Clause,,,
fitting,tuwilof/fitting,documentation,True,142931,4.2.2,MIT,,,
katakata_irb,tompng/katakata_irb,irb,True,142606,0.2.3,MIT,,,
ruboto,ruboto/ruboto,mobile development,True,142228,1.6.1,MIT,,,
prof,ruby-prof/ruby-prof,profiler and optimization,True,141059,0.44.0,"Copyright (c) Pivotal Software, Inc.",,,
ronin,ronin-rb/ronin,security,True,139975,2.1.1,GPL-3.0-or-later,,,
camping,camping/camping,web frameworks,True,139484,3.2.6,MIT,,,
active_analytics,BaseSecrete/active_analytics,analytics,True,137747,0.4.1,MIT,,,
ferry,cmu-is-projects/ferry,orm/odm extensions,True,136842,2.0.0,MIT,,,
dryrun,cesarferreira/dryrun,mobile development,True,136553,1.3.2,MIT,,,
geo_pattern,jasonlong/geo_pattern,data visualization,True,133001,1.5.0,MIT,,,
kanrisuru,avamia/kanrisuru,devops tools,True,130207,1.2.0,MIT,,,
servactory,servactory/servactory,business logic,True,126740,3.0.4,MIT,,,
textstat,kupolak/textstat,natural language processing,True,126531,1.0.1,MIT,,,
fat_free_crm,fatfreecrm/fat_free_crm,crm,True,125573,0.28.0,MIT,,,
raygun,carbonfive/raygun,rails application generators,True,125372,1.2.0,MIT,,,
howitzer,strongqa/howitzer,testing,True,120810,2.6.1,MIT,,,
bitwise,kenn/bitwise,core extensions,True,116260,0.6.0,,,,
ruby2d,ruby2d/ruby2d,game development and graphics,True,115915,1.0.0,MIT,,,
arel-extensions,faveod/arel-extensions,orm/odm extensions,True,114119,8.1.0,MIT,,,
