gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,excluido_por
activesupport,lib/active_support/environment_inquirer.rb,3989ebf3473d,core extensions,7,11,0,50,0.0,2,50.0,2,2,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/error_reporter/test_helper.rb,3989ebf3473d,core extensions,3,3,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/execution_context/test_helper.rb,3989ebf3473d,core extensions,4,4,0,0,0.0,0,0.0,2,1,1,0.5,menos de 3 formas distintas
activesupport,lib/active_support/inflector/transliterate.rb,3989ebf3473d,core extensions,27.5,32,0,100,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/message_pack/cache_serializer.rb,3989ebf3473d,core extensions,4,5,0,0,0.67,0,0.0,2,3,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/messages/rotation_configuration.rb,3989ebf3473d,core extensions,6,9,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/multibyte.rb,3989ebf3473d,core extensions,5,7,100,0,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/string_inquirer.rb,3989ebf3473d,core extensions,5,7,0,100,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
activesupport,lib/active_support/testing/tagged_logging.rb,3989ebf3473d,core extensions,6.5,10,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
autoprefixer-rails,lib/autoprefixer-rails/railtie.rb,01f8d15c4677,assets,11.5,20,0,50,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
autoprefixer-rails,lib/autoprefixer-rails/result.rb,01f8d15c4677,assets,4,5,0,0,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
autoprefixer-rails,lib/rake/autoprefixer_tasks.rb,01f8d15c4677,assets,6.5,8,0,50,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/core_ext/kernel.rb,9ae56ba413b9,cli utilities,6.5,9,0,100,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/core_ext/method.rb,9ae56ba413b9,cli utilities,3,3,0,100,0.0,0,0.0,2,2,1,0.5,menos de 3 formas distintas
awesome_print,lib/awesome_print/formatters/class_formatter.rb,9ae56ba413b9,cli utilities,6.5,8,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/formatters/dir_formatter.rb,9ae56ba413b9,cli utilities,4.5,5,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/formatters/file_formatter.rb,9ae56ba413b9,cli utilities,4.5,5,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/formatters/method_formatter.rb,9ae56ba413b9,cli utilities,5,5,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/formatters/simple_formatter.rb,9ae56ba413b9,cli utilities,4.5,6,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
awesome_print,lib/awesome_print/indentator.rb,9ae56ba413b9,cli utilities,5,6,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
better_errors,lib/better_errors/code_formatter/text.rb,fde3b7025db1,error handling,4,5,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
better_errors,lib/better_errors/error_page_style.rb,fde3b7025db1,error handling,18.5,28,100,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
better_errors,lib/better_errors/exception_extension.rb,fde3b7025db1,error handling,5,7,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
better_errors,lib/better_errors/exception_hint.rb,fde3b7025db1,error handling,10,17,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
bootsnap,lib/bootsnap/load_path_cache/core_ext/loaded_features.rb,e099ec707644,optimizations,6,8,0,50,0.0,0,0.0,2,0,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_basic_auth_timing_attack.rb,fffc4837becb,code analysis and metrics,12.5,14,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_digest_dos.rb,fffc4837becb,code analysis and metrics,15,27,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_divide_by_zero.rb,fffc4837becb,code analysis and metrics,17,29,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_file_disclosure.rb,fffc4837becb,code analysis and metrics,13.5,24,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_filter_skipping.rb,fffc4837becb,code analysis and metrics,10.5,12,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_header_dos.rb,fffc4837becb,code analysis and metrics,11.5,19,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_json_encoding.rb,fffc4837becb,code analysis and metrics,19.5,25,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_mail_to.rb,fffc4837becb,code analysis and metrics,17.5,20,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_mime_type_dos.rb,fffc4837becb,code analysis and metrics,15.5,24,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_model_serialize.rb,fffc4837becb,code analysis and metrics,28.5,41,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_nested_attributes.rb,fffc4837becb,code analysis and metrics,14,21,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_page_caching_cve.rb,fffc4837becb,code analysis and metrics,14.5,24,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_quote_table_name.rb,fffc4837becb,code analysis and metrics,15,25,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_reverse_tabnabbing.rb,fffc4837becb,code analysis and metrics,25,44,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_route_dos.rb,fffc4837becb,code analysis and metrics,17,22,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_select_tag.rb,fffc4837becb,code analysis and metrics,24,24,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_select_vulnerability.rb,fffc4837becb,code analysis and metrics,25,26,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_session_manipulation.rb,fffc4837becb,code analysis and metrics,13,21,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_sprockets_path_traversal.rb,fffc4837becb,code analysis and metrics,16.5,30,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_template_injection.rb,fffc4837becb,code analysis and metrics,11,13,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_translate_bug.rb,fffc4837becb,code analysis and metrics,18,31,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_unsafe_reflection.rb,fffc4837becb,code analysis and metrics,21.5,36,0,100,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/checks/check_xml_dos.rb,fffc4837becb,code analysis and metrics,18.5,28,0,50,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/processors/erb_template_processor.rb,fffc4837becb,code analysis and metrics,33,39,0,100,0.0,3,0.0,2,1,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/report/renderer.rb,fffc4837becb,code analysis and metrics,8.5,14,0,50,0.0,0,150.0,2,2,2,1.0,menos de 3 formas distintas
brakeman,lib/brakeman/report/report_json.rb,fffc4837becb,code analysis and metrics,20,35,0,100,0.0,1,0.0,2,1,2,1.0,menos de 3 formas distintas
bullet,lib/bullet/notification/counter_cache.rb,bc55c037d27a,profiler and optimization,3,3,0,0,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
bullet,lib/bullet/registry/association.rb,bc55c037d27a,profiler and optimization,3.5,4,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
bullet,lib/bullet/registry/object.rb,bc55c037d27a,profiler and optimization,3,3,0,100,0.0,1,0.0,2,3,1,0.5,menos de 3 formas distintas
bullet,lib/generators/bullet/install_generator.rb,bc55c037d27a,profiler and optimization,16.5,17,0,0,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
bundler-audit,lib/bundler/audit/cli/formats/json.rb,f8b06ebbefdd,security,9.5,10,0,100,0.0,1,0.0,2,5,2,1.0,menos de 3 formas distintas
bundler-audit,lib/bundler/audit/configuration.rb,f8b06ebbefdd,security,17.5,32,50,100,0.0,1,0.0,2,5,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/processors/control_processor.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/processors/post_mortem_processor.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/remote/server.rb,aff644023372,debugging tools,14,23,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/callstyle.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/histfile.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/histsize.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/listsize.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/savefile.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
byebug,lib/byebug/settings/width.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/minitest.rb,a210c6e57872,testing,7.5,10,0,100,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/node/whitespace_normalizer.rb,a210c6e57872,testing,8.5,9,0,100,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/queries/active_element_query.rb,a210c6e57872,testing,4,4,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/queries/ancestor_query.rb,a210c6e57872,testing,9,12,0,100,0.0,2,50.0,2,3,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/queries/sibling_query.rb,a210c6e57872,testing,8.5,11,0,100,0.0,2,50.0,2,3,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/rack_test/css_handlers.rb,a210c6e57872,testing,3,3,0,100,1.0,1,0.0,2,1,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selector/definition/button.rb,a210c6e57872,testing,7,11,0,50,0.0,0,0.0,2,0,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selector/filters/node_filter.rb,a210c6e57872,testing,9,13,0,50,0.0,1,0.0,2,4,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selector/xpath_extensions.rb,a210c6e57872,testing,3,3,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selenium/driver_specializations/internet_explorer_driver.rb,a210c6e57872,testing,6,9,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selenium/driver_specializations/safari_driver.rb,a210c6e57872,testing,6,9,0,50,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
capybara,lib/capybara/selenium/patches/persistent_client.rb,a210c6e57872,testing,4.5,5,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
carrierwave,lib/carrierwave/uploader/default_url.rb,5effe4ecaae9,file upload,2,3,0,0,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
carrierwave,lib/carrierwave/uploader/file_size.rb,5effe4ecaae9,file upload,6,11,0,50,0.33,0,0.0,2,3,2,1.0,menos de 3 formas distintas
carrierwave,lib/carrierwave/uploader/mountable.rb,5effe4ecaae9,file upload,3.5,4,0,50,0.0,0,50.0,2,3,2,1.0,menos de 3 formas distintas
carrierwave,lib/carrierwave/uploader/url.rb,5effe4ecaae9,file upload,11.5,20,0,50,1.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
childprocess,lib/childprocess/unix/process.rb,c756730c4ac4,processes,10,17,0,0,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
childprocess,lib/childprocess/windows/process.rb,c756730c4ac4,processes,9.5,16,0,0,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
chronic,lib/chronic.rb,7d3d82d38c99,date and time processing,24,45,100,50,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
chronic,lib/chronic/numerizer.rb,7d3d82d38c99,date and time processing,25.5,41,100,100,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/command/cache.rb,5493bfd201a3,package management,3.5,4,0,50,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/external_sources/downloader_source.rb,5493bfd201a3,package management,6.5,10,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/generator/constant.rb,5493bfd201a3,package management,4,5,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/generator/prefix_header.rb,5493bfd201a3,package management,11,18,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/generator/umbrella_header.rb,5493bfd201a3,package management,9,14,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/installer/pre_install_hooks_context.rb,5493bfd201a3,package management,4.5,6,50,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/installer/target_uuid_generator.rb,5493bfd201a3,package management,9,15,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/installer/xcode/pods_project_generator/aggregate_target_dependency_installer.rb,5493bfd201a3,package management,15,24,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/installer/xcode/single_pods_project_generator.rb,5493bfd201a3,package management,10.5,16,0,50,0.0,1,0.0,2,4,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/native_target_extension.rb,5493bfd201a3,package management,14.5,18,100,100,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
cocoapods,lib/cocoapods/sandbox/podspec_finder.rb,5493bfd201a3,package management,7,11,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/encoders/lines_of_code.rb,d30855fe96e3,code highlighting,7.5,12,0,100,0.0,3,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/encoders/text.rb,d30855fe96e3,code highlighting,7.5,9,0,100,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/css.rb,d30855fe96e3,code highlighting,70.5,137,0,50,0.0,2,0.0,2,4,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/debug.rb,d30855fe96e3,code highlighting,27,50,0,50,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/diff.rb,d30855fe96e3,code highlighting,97.5,182,0,100,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/groovy.rb,d30855fe96e3,code highlighting,112,221,0,50,0.0,3,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/haml.rb,d30855fe96e3,code highlighting,73,140,0,100,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/json.rb,d30855fe96e3,code highlighting,35.5,68,0,50,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/lua.rb,d30855fe96e3,code highlighting,110,216,0,50,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/raydebug.rb,d30855fe96e3,code highlighting,26.5,49,0,50,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
coderay,lib/coderay/scanners/sass.rb,d30855fe96e3,code highlighting,107.5,212,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
concurrent-ruby,docs-source/actor/celluloid_benchmark.rb,0b88d5ff75f6,concurrency and parallelism,5.5,7,0,50,1.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
concurrent-ruby,docs-source/actor/quick.in.rb,0b88d5ff75f6,concurrency and parallelism,6,9,0,0,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
concurrent-ruby,docs-source/actor/quick.out.rb,0b88d5ff75f6,concurrency and parallelism,6,9,0,0,0.0,2,0.0,2,1,2,1.0,menos de 3 formas distintas
concurrent-ruby,examples/benchmark_async.rb,0b88d5ff75f6,concurrency and parallelism,3,3,0,100,1.0,0,0.0,2,2,1,0.5,menos de 3 formas distintas
concurrent-ruby,examples/benchmark_atomic.rb,0b88d5ff75f6,concurrency and parallelism,18.5,32,0,100,0.0,0,0.0,2,0,2,1.0,menos de 3 formas distintas
concurrent-ruby,examples/go-by-example-channels/channel-directions.rb,0b88d5ff75f6,concurrency and parallelism,3.5,4,0,100,0.0,0,0.0,2,0,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/behaviour/executes_context.rb,0b88d5ff75f6,concurrency and parallelism,3.5,4,0,100,0.0,1,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/behaviour/sets_results.rb,0b88d5ff75f6,concurrency and parallelism,12.5,21,0,50,0.0,1,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/behaviour/supervising.rb,0b88d5ff75f6,concurrency and parallelism,12.5,13,0,50,0.0,1,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/errors.rb,0b88d5ff75f6,concurrency and parallelism,4,4,0,100,0.5,1,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/utils/ad_hoc.rb,0b88d5ff75f6,concurrency and parallelism,3,3,0,50,0.2,2,50.0,2,5,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/actor/utils/pool.rb,0b88d5ff75f6,concurrency and parallelism,10,12,0,100,0.0,2,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/buffer/ticker.rb,0b88d5ff75f6,concurrency and parallelism,9,13,0,100,0.0,4,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/selector/after_clause.rb,0b88d5ff75f6,concurrency and parallelism,6.5,8,0,100,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/selector/default_clause.rb,0b88d5ff75f6,concurrency and parallelism,3,3,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/selector/error_clause.rb,0b88d5ff75f6,concurrency and parallelism,5,7,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/selector/put_clause.rb,0b88d5ff75f6,concurrency and parallelism,6.5,8,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/channel/selector/take_clause.rb,0b88d5ff75f6,concurrency and parallelism,5.5,7,0,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby-edge/concurrent/edge/lock_free_linked_set/window.rb,0b88d5ff75f6,concurrency and parallelism,16.5,30,50,50,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/concern/deprecation.rb,0b88d5ff75f6,concurrency and parallelism,8.5,14,0,50,0.67,0,0.0,2,3,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/cached_thread_pool.rb,0b88d5ff75f6,concurrency and parallelism,8.5,10,0,100,0.0,2,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/indirect_immediate_executor.rb,0b88d5ff75f6,concurrency and parallelism,10,16,0,50,0.0,4,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/java_single_thread_executor.rb,0b88d5ff75f6,concurrency and parallelism,5,7,0,50,0.5,4,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/safe_task_executor.rb,0b88d5ff75f6,concurrency and parallelism,10.5,16,0,100,0.0,2,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/executor/serialized_execution_delegator.rb,0b88d5ff75f6,concurrency and parallelism,5,5,0,50,0.5,1,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,lib/concurrent-ruby/concurrent/options.rb,0b88d5ff75f6,concurrency and parallelism,10.5,14,100,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
concurrent-ruby,support/yard_full_types.rb,0b88d5ff75f6,concurrency and parallelism,20,27,0,100,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
countries,lib/countries/country/conversion_methods.rb,8c026f5b49da,country data,3,3,0,0,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
countries,lib/countries/sources/cldr/downloader.rb,8c026f5b49da,country data,8.5,14,0,50,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
countries,lib/countries/sources/cldr/subdivision_updater.rb,8c026f5b49da,country data,13,21,0,100,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
dalli,scripts/changelog_section.rb,fc1b590e462a,caching,7.5,9,0,100,0.0,0,0.0,2,0,2,1.0,menos de 3 formas distintas
danger,lib/danger.rb,c94d38b3ce68,automation,9.5,12,100,0,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
danger,lib/danger/ci_source/support/find_repo_info_from_url.rb,c94d38b3ce68,automation,8.5,14,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/ci_source/support/local_pull_request.rb,c94d38b3ce68,automation,3.5,4,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/ci_source/support/remote_pull_request.rb,c94d38b3ce68,automation,4,5,0,0,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/commands/dangerfile/init.rb,c94d38b3ce68,automation,4,5,50,50,0.0,3,0.0,2,4,2,1.0,menos de 3 formas distintas
danger,lib/danger/commands/local_helpers/local_setup.rb,c94d38b3ce68,automation,19,34,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/commands/plugins/plugin_json.rb,c94d38b3ce68,automation,11.5,17,0,100,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/commands/plugins/plugin_readme.rb,c94d38b3ce68,automation,9,12,0,100,0.0,1,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/danger_core/dangerfile_dsl.rb,c94d38b3ce68,automation,4,5,0,0,0.0,0,0.0,2,3,2,1.0,menos de 3 formas distintas
danger,lib/danger/helpers/find_max_num_violations.rb,c94d38b3ce68,automation,10,17,0,50,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
danger,lib/danger/plugin_support/plugin_file_resolver.rb,c94d38b3ce68,automation,7,11,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
danger,lib/danger/request_sources/github/github_review_resolver.rb,c94d38b3ce68,automation,3,3,100,100,0.0,0,0.0,2,4,2,1.0,menos de 3 formas distintas
danger,lib/danger/request_sources/support/get_ignored_violation.rb,c94d38b3ce68,automation,4,5,0,50,0.0,0,0.0,2,1,2,1.0,menos de 3 formas distintas
devise,lib/devise/controllers/scoped_views.rb,9ea459de9aec,authentication and oauth,3,3,0,0,0.25,0,0.0,2,4,2,1.0,menos de 3 formas distintas
devise,lib/devise/delegator.rb,9ea459de9aec,authentication and oauth,5,7,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
devise,lib/devise/encryptor.rb,9ea459de9aec,authentication and oauth,7.5,9,100,100,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
devise,lib/devise/hooks/proxy.rb,9ea459de9aec,authentication and oauth,3,3,0,50,0.67,0,0.0,2,3,2,1.0,menos de 3 formas distintas
devise,lib/devise/models/registerable.rb,9ea459de9aec,authentication and oauth,3,3,50,0,0.25,0,0.0,2,4,2,1.0,menos de 3 formas distintas
devise,lib/devise/strategies/base.rb,9ea459de9aec,authentication and oauth,5,7,0,50,0.0,1,0.0,2,3,2,1.0,menos de 3 formas distintas
devise,lib/generators/active_record/templates/migration_existing.rb,9ea459de9aec,authentication and oauth,11,17,100,50,0.0,1,0.0,2,1,2,1.0,menos de 3 formas distintas
devise,lib/generators/devise/controllers_generator.rb,9ea459de9aec,authentication and oauth,5.5,8,0,100,0.0,2,0.0,2,3,2,1.0,menos de 3 formas distintas
docile,lib/docile/backtrace_filter.rb,f0c25f516b8f,core extensions,3,3,0,50,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
doorkeeper,app/controllers/doorkeeper/authorized_applications_controller.rb,75a84fefe686,authentication and oauth,12,16,0,100,0.0,2,0.0,2,2,2,1.0,menos de 3 formas distintas
doorkeeper,app/helpers/doorkeeper/dashboard_helper.rb,75a84fefe686,authentication and oauth,7,11,0,100,0.0,0,0.0,2,2,2,1.0,menos de 3 formas distintas
doorkeeper,lib/doorkeeper/config/abstract_builder.rb,75a84fefe686,authentication and oauth,4,4,0,50,0.0,0,50.0,2,3,2,1.0,menos de 3 formas distintas
doorkeeper,lib/doorkeeper/config/option.rb,75a84fefe686,authentication and oauth,22,38,50,100,0.0,0,250.0,2,3,2,1.0,menos de 3 formas distintas
doorkeeper,lib/doorkeeper/grant_flow/fallback_flow.rb,75a84fefe686,authentication and oauth,3,3,0,0,0.0,1,0.0,2,3,1,0.5,menos de 3 formas distintas
